NO_OF_SAMPLES	129
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:15:04	710.78465524
FIRST_SAMPLE	119
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
119	1.18000	1.050209	0.700301	3.020613	0.356770	0.306911	0.146556	0.000000	0.000000	0.000000	
120	1.19000	0.983801	0.608132	3.546603	0.319789	0.324597	0.160277	0.000000	0.000000	0.000000	
121	1.20000	0.938669	0.631484	3.545800	0.347323	0.297458	0.155570	0.000000	0.000000	0.000000	
122	1.21000	0.845635	0.610317	3.106739	0.356700	0.297630	0.151009	0.000000	0.000000	0.000000	
123	1.22000	1.054120	0.629410	3.985008	0.319562	0.333642	0.160273	0.000000	0.000000	0.000000	
124	1.23000	0.915253	0.654583	3.369664	0.356533	0.315843	0.151096	0.000000	0.000000	0.000000	
125	1.24000	0.845762	0.633088	3.106610	0.374893	0.288575	0.160195	0.000000	0.000000	0.000000	
126	1.25000	1.051396	0.631438	3.370862	0.356673	0.325169	0.132698	0.000000	0.000000	0.000000	
127	1.26000	0.982698	0.699631	3.194466	0.356456	0.352370	0.155937	0.000000	0.000000	0.000000	
128	1.27000	0.938309	0.608023	3.545062	0.319798	0.370293	0.146668	0.000000	0.000000	0.000000	
129	1.28000	0.937478	0.608882	3.369361	0.374647	0.352471	0.151205	0.000000	0.000000	0.000000	
130	1.29000	1.007279	0.653230	3.634029	0.319816	0.324627	0.155708	0.000000	0.000000	0.000000	
131	1.30000	0.960046	0.563996	3.370426	0.383946	0.306975	0.146349	0.000000	0.000000	0.000000	
132	1.31000	0.890883	0.563989	3.193999	0.365556	0.361541	0.151226	0.000000	0.000000	0.000000	
133	1.32000	0.847504	0.586363	3.544109	0.347398	0.334045	0.137269	0.000000	0.000000	0.000000	
134	1.33000	0.937689	0.517911	3.545570	0.374537	0.334138	0.155604	0.000000	0.000000	0.000000	
135	1.34000	0.937531	0.700368	3.194873	0.347561	0.297590	0.151094	0.000000	0.000000	0.000000	
136	1.35000	0.939458	0.744764	3.544843	0.347344	0.306592	0.155731	0.000000	0.000000	0.000000	
137	1.36000	1.006320	0.631318	3.458457	0.356471	0.315859	0.151058	0.000000	0.000000	0.000000	
138	1.37000	0.983515	0.563086	3.546518	0.347228	0.315714	0.155578	0.000000	0.000000	0.000000	
139	1.38000	0.918567	0.584825	4.158624	0.347100	0.306485	0.146259	0.000000	0.000000	0.000000	
140	1.39000	0.915870	0.631292	3.544124	0.356477	0.352392	0.137395	0.000000	0.000000	0.000000	
141	1.40000	0.915160	0.586560	3.457520	0.383824	0.306862	0.155567	0.000000	0.000000	0.000000	
142	1.41000	0.982013	0.654456	3.108051	0.329104	0.333901	0.160432	0.000000	0.000000	0.000000	
143	1.42000	0.893112	0.607660	3.632802	0.319418	0.369994	0.178879	0.000000	0.000000	0.000000	
144	1.43000	0.824567	0.631889	3.455381	0.374683	0.352437	0.146611	0.000000	0.000000	0.000000	
145	1.44000	0.894217	0.653816	3.719898	0.347252	0.315676	0.151044	0.000000	0.000000	0.000000	
146	1.45000	0.847792	0.585841	3.632727	0.328836	0.324544	0.164841	0.000000	0.000000	0.000000	
147	1.46000	0.893540	0.631112	3.632280	0.347173	0.333901	0.155717	0.000000	0.000000	0.000000	
148	1.47000	1.050625	0.562386	3.372021	0.301488	0.370171	0.155859	0.000000	0.000000	0.000000	
149	1.48000	0.848209	0.744969	3.456192	0.310901	0.333735	0.146667	0.000000	0.000000	0.000000	
150	1.49000	0.893004	0.654287	3.456865	0.329207	0.333957	0.137359	0.000000	0.000000	0.000000	
151	1.50000	0.959947	0.585532	3.371242	0.310547	0.351849	0.169611	0.000000	0.000000	0.000000	
152	1.51000	0.938131	0.609087	3.457545	0.356619	0.315936	0.137224	0.000000	0.000000	0.000000	
153	1.52000	0.980757	0.518736	3.021996	0.301860	0.315532	0.151020	0.000000	0.000000	0.000000	
154	1.53000	0.914114	0.631968	3.195049	0.347248	0.324789	0.169556	0.000000	0.000000	0.000000	
155	1.54000	0.936470	0.586589	3.195087	0.365498	0.334090	0.164940	0.000000	0.000000	0.000000	
