NO_OF_SAMPLES	303
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:44:55	2502.10000300
FIRST_SAMPLE	167
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
167	1.66000	-0.723186	123.727630	442.028665	31.963233	-15.666646	0.917114	35.253970	61.583993	0.000000	
168	1.67000	-2.395870	123.943732	442.984761	32.227873	-16.479290	1.148311	37.162671	62.029974	0.000000	
169	1.68000	-4.123899	123.775139	442.540653	32.337435	-17.091966	1.357225	38.740685	62.354560	0.000000	
170	1.69000	-6.675450	122.907699	441.914589	32.547130	-17.658674	1.565596	40.309012	62.995192	0.000000	
171	1.70000	-9.542766	123.289423	440.046938	32.829708	-18.042624	1.840721	41.614027	63.868113	0.000000	
172	1.71000	-11.773538	123.027792	439.582235	33.247618	-18.014662	2.047676	41.797436	64.909625	0.000000	
173	1.72000	-13.390479	122.809933	439.122765	33.684516	-18.003976	2.185541	41.964221	65.991820	0.000000	
174	1.73000	-14.987951	124.833196	439.699039	34.393003	-17.993264	2.578754	42.029684	67.333381	0.000000	
175	1.74000	-17.093401	126.946352	442.987688	35.237628	-18.293021	3.030081	42.582347	68.552972	0.000000	
176	1.75000	-18.353892	128.632127	442.951087	35.903671	-18.243509	3.123970	42.587806	69.910189	0.000000	
177	1.76000	-18.669327	128.689620	442.854781	36.518585	-18.775990	2.974189	43.827963	71.308629	0.000000	
178	1.77000	-18.568084	127.687408	440.850088	36.926327	-19.627713	2.693321	45.951245	72.646543	0.000000	
179	1.78000	-18.186953	125.485608	437.284507	37.052369	-20.526087	2.323825	48.347613	73.724584	0.000000	
180	1.79000	-16.899614	121.923842	434.892249	37.160654	-22.218767	2.022861	52.388873	74.703832	0.000000	
181	1.80000	-15.049880	118.971681	430.832330	37.313771	-23.536797	1.775089	55.772676	76.032664	0.000000	
182	1.81000	-13.041889	117.288560	429.227031	37.658301	-25.466135	1.677453	60.290214	77.274660	0.000000	
183	1.82000	-11.256187	116.147578	432.266382	38.348461	-28.134175	1.737442	65.871676	78.436610	0.000000	
184	1.83000	-8.893077	114.421285	429.092869	38.729227	-30.182220	1.759165	70.913661	80.061450	0.000000	
185	1.84000	-7.366996	113.609539	425.033136	39.111040	-32.504513	1.849835	76.913762	81.796415	0.000000	
186	1.85000	-5.993674	111.782601	418.878344	39.257253	-34.809084	1.824801	83.418399	83.514891	0.000000	
187	1.86000	-4.017998	111.287029	413.509610	39.492884	-37.031945	1.962530	89.689449	85.210974	0.000000	
188	1.87000	-1.477894	109.625742	413.588167	39.791933	-39.637666	1.972174	95.727262	86.078422	0.000000	
189	1.88000	1.258174	77.285750	415.507315	39.002158	-41.090794	8.141846	98.518088	86.891943	0.000000	
190	1.89000	8.245694	96.857836	416.906269	39.541078	-43.576740	5.273935	103.479844	86.018879	0.000000	
191	1.90000	6.164194	98.631105	426.496387	40.080974	-45.652735	3.759564	106.209855	85.194723	0.000000	
192	1.91000	11.654597	99.976139	431.849016	40.127867	-48.025447	4.099575	109.876613	84.128574	0.000000	
193	1.92000	9.755635	94.199106	433.169787	39.367530	-50.041908	5.520913	114.371098	82.651022	0.000000	
194	1.93000	11.103956	90.409764	427.238949	38.052437	-51.246618	6.866373	118.655964	81.068266	0.000000	
195	1.94000	9.563809	90.511949	423.236492	37.136945	-52.152795	7.581539	122.066930	79.657866	0.000000	
196	1.95000	7.869023	90.417242	419.885718	35.910520	-54.561203	8.759428	128.940208	77.378062	0.000000	
197	1.96000	8.165118	85.965997	412.132078	33.999357	-56.872673	9.906383	136.950662	74.619480	0.000000	
198	1.97000	9.506944	82.538318	406.036860	31.471322	-59.416585	9.888573	145.143496	69.843930	0.000000	
199	1.98000	9.522338	82.384860	389.953112	28.386929	-61.808805	11.207091	157.273522	64.811881	0.000000	
200	1.99000	17.220604	70.489655	387.196419	26.595149	-63.539145	10.658356	162.069582	61.869935	0.000000	
201	2.00000	20.443082	74.455931	388.869454	26.632558	-64.417334	10.041525	163.298437	61.294406	0.000000	
202	2.01000	25.700981	71.400855	390.544006	26.270096	-65.319592	9.799371	164.369522	60.418003	0.000000	
203	2.02000	30.117160	73.041521	394.283437	26.236014	-66.641416	9.817741	165.713178	59.596631	0.000000	
204	2.03000	31.625973	76.317088	404.919560	26.616165	-69.007914	10.476564	167.049165	58.658827	0.000000	
205	2.04000	34.333185	78.091809	416.459903	26.842033	-71.611584	11.008353	168.405284	57.418115	0.000000	
206	2.05000	36.611324	79.532268	424.396100	26.969140	-73.657548	11.367891	169.857770	56.516838	0.000000	
207	2.06000	39.841359	82.147563	430.674801	27.148521	-75.613375	12.037771	171.619406	55.873447	0.000000	
208	2.07000	41.363436	85.019355	435.703930	27.291027	-77.342281	12.759763	173.464052	55.297528	0.000000	
209	2.08000	42.999275	86.916679	433.624173	27.132048	-77.528826	13.313778	174.576715	55.019106	0.000000	
210	2.09000	44.509796	86.624018	423.208879	26.694145	-76.261078	13.330016	175.741184	55.354799	0.000000	
211	2.10000	43.441834	85.862735	411.267974	26.209450	-74.310261	13.330597	176.211424	55.844136	0.000000	
212	2.11000	40.339282	82.686512	399.570799	25.682964	-72.147227	12.827709	176.274173	56.465525	0.000000	
213	2.12000	35.477104	80.962365	392.755941	25.482755	-70.532871	12.576289	175.721471	57.102985	0.000000	
214	2.13000	29.304158	82.656846	396.089640	25.952727	-70.536223	13.014756	174.871506	57.641829	0.000000	
215	2.14000	26.289045	84.726682	394.981113	26.349385	-69.889904	13.452607	174.031666	58.597191	0.000000	
216	2.15000	26.242400	85.950550	389.260107	26.447164	-68.611835	13.612333	173.314624	59.577255	0.000000	
217	2.16000	26.769131	85.698929	386.361981	26.555956	-67.816003	13.551548	172.502293	60.328317	0.000000	
218	2.17000	26.783531	86.352646	388.543973	26.891975	-67.851223	13.652935	171.621291	60.789687	0.000000	
219	2.18000	25.073156	87.938560	394.210354	27.445159	-68.316773	13.969181	170.505075	61.165003	0.000000	
220	2.19000	24.287962	88.300359	395.855155	27.726774	-68.114851	13.988535	169.364720	61.587649	0.000000	
221	2.20000	22.788430	88.326992	395.914378	27.999559	-67.721221	13.985605	168.496444	62.264817	0.000000	
222	2.21000	21.197990	88.783966	395.442680	28.235483	-67.172890	14.011530	167.471802	62.888980	0.000000	
223	2.22000	19.484016	89.942958	396.549686	28.561385	-67.008924	14.234194	166.762791	63.419767	0.000000	
224	2.23000	16.889927	92.574615	401.323745	29.149664	-67.348030	14.736384	165.879222	63.874627	0.000000	
225	2.24000	17.415097	91.146159	399.398454	29.169434	-66.806890	14.452118	165.272638	64.372725	0.000000	
226	2.25000	18.899586	88.857966	395.032882	29.091311	-66.117849	13.947019	165.207495	65.112734	0.000000	
227	2.26000	18.914899	88.199914	398.717148	29.329854	-66.617541	13.796155	164.930296	65.179516	0.000000	
228	2.27000	18.457837	88.945528	401.776680	29.574202	-66.928241	13.988388	164.491184	65.220676	0.000000	
