NO_OF_FRAMES	149
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:16:24	790.93115550
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
13737	137.36000	496.939	335.774	1742.881	610.952	130.104	1439.501	576.457	39.922	1089.031	412.108	119.489	884.992	623.312	496.707	1442.814	722.082	590.822	1093.608	616.240	583.516	849.798	661.553	148.598	905.742	744.175	187.725	496.904	925.463	238.644	79.083	990.204	278.633	49.277	819.859	225.413	23.255	723.051	268.042	18.689	639.467	501.733	884.896	451.330	457.732	501.169	312.920	420.636	72.940	340.489	364.524	14.903	191.294	444.125	71.874	100.670	416.395	111.220
13738	137.37000	486.544	337.876	1742.025	599.772	132.039	1438.970	566.638	41.553	1088.449	402.963	120.710	883.317	612.671	498.559	1442.115	710.995	591.437	1092.168	605.322	583.808	848.011	650.467	148.873	905.019	733.853	187.373	496.564	923.658	237.343	81.720	989.606	277.026	53.975	819.604	225.094	23.109	723.024	268.275	18.668	627.885	501.731	884.396	437.813	456.738	501.442	310.390	417.586	69.213	339.665	362.539	11.990	188.174	440.405	65.477	97.279	412.835	102.722
13739	137.38000	475.837	339.897	1741.322	588.093	133.883	1438.507	557.399	43.275	1087.532	394.185	121.424	881.854	601.813	500.516	1441.420	699.508	592.008	1091.187	593.671	584.096	847.204	639.256	149.272	904.789	722.783	187.193	496.054	921.600	236.232	84.662	988.449	276.048	58.920	819.276	224.961	23.426	723.041	268.496	18.599	615.576	501.507	883.166	425.092	455.220	500.496	308.193	415.219	65.779	340.836	361.689	9.384	185.720	436.399	59.378	94.080	408.046	94.675
13740	137.39000	464.322	341.370	1741.281	577.145	136.031	1438.539	547.983	45.368	1087.356	385.410	122.632	880.018	590.773	502.527	1440.455	688.398	592.983	1090.011	581.896	584.764	846.274	627.749	149.863	904.594	711.180	187.251	495.625	919.441	235.082	88.444	987.000	275.051	64.381	819.277	224.759	23.423	722.986	268.675	18.643	601.893	501.643	882.858	412.534	453.635	500.045	304.137	412.510	64.344	339.297	361.210	12.981	180.850	432.823	51.156	87.092	400.817	83.928
13741	137.40000	453.253	343.571	1742.178	565.643	137.874	1438.761	538.637	47.461	1087.231	377.231	123.633	879.031	579.804	504.826	1440.169	676.928	594.009	1089.288	570.172	585.302	845.662	616.185	150.864	904.531	698.788	187.270	495.574	917.192	233.377	92.913	985.034	273.756	71.269	818.959	224.694	23.462	722.890	268.854	18.678	588.080	502.428	883.448	401.663	453.094	500.359	295.645	413.516	66.377	336.088	362.000	17.502	173.603	430.265	46.258	76.884	396.204	71.686
13742	137.41000	441.999	345.843	1743.290	554.535	139.942	1439.906	529.053	49.773	1088.028	368.921	124.227	878.521	568.760	506.923	1440.377	665.623	595.030	1088.362	558.368	585.586	845.494	605.076	151.466	904.676	685.151	187.265	494.982	913.464	232.554	96.919	982.144	272.723	77.891	818.776	224.708	23.572	722.874	269.007	18.643	574.383	502.562	884.576	391.895	453.306	500.234	286.685	414.350	66.936	334.355	362.841	19.058	168.472	428.167	41.682	73.144	392.830	64.578
13743	137.42000	430.870	348.225	1744.622	543.229	141.791	1441.476	519.844	52.232	1089.178	361.547	124.857	877.387	557.411	509.025	1440.777	654.014	595.963	1088.478	546.491	586.251	845.656	593.146	152.319	905.208	670.694	186.834	494.807	909.486	231.364	101.724	978.640	272.025	86.177	818.260	225.078	24.019	722.795	269.000	18.588	560.221	503.726	887.231	380.821	453.653	502.012	284.351	414.165	64.884	333.982	363.293	20.271	167.768	426.534	35.762	71.291	387.871	55.770
13744	137.43000	418.862	350.623	1746.464	531.812	143.897	1443.719	510.615	54.855	1091.119	354.527	125.715	877.065	546.006	511.174	1441.825	642.063	596.982	1089.182	534.594	586.573	846.441	580.956	153.195	905.578	655.410	186.052	494.559	905.291	229.985	108.017	974.273	271.299	95.244	818.055	225.172	24.089	722.646	269.074	18.663	547.607	504.231	889.948	368.729	453.850	503.978	285.208	414.798	64.652	333.684	363.667	20.789	167.087	426.273	31.245	70.005	387.735	47.227
13745	137.44000	407.254	353.169	1748.284	520.357	145.942	1446.237	501.713	57.426	1093.434	348.455	126.408	877.041	534.503	513.340	1442.912	630.148	597.895	1090.012	522.327	587.058	847.476	568.806	153.989	906.401	638.506	184.634	494.410	899.943	228.387	113.843	968.755	270.716	105.628	818.134	225.898	24.196	722.681	268.961	18.605	535.224	504.545	892.505	356.515	453.997	506.852	283.039	415.527	64.466	332.699	363.933	22.023	166.286	428.503	27.072	68.745	389.734	41.340
13746	137.45000	395.908	355.977	1750.027	508.852	148.027	1449.264	492.909	59.774	1096.375	342.486	127.073	877.139	522.578	515.159	1444.806	618.048	598.869	1091.409	510.102	587.693	848.848	556.071	154.945	906.977	620.468	182.599	493.889	893.636	227.136	120.422	961.217	271.069	117.483	817.872	226.192	24.671	722.772	268.779	18.558	523.556	505.445	895.619	346.068	454.685	508.660	280.728	416.456	64.149	331.812	364.364	22.792	165.832	432.575	25.051	67.560	394.202	36.563
