NO_OF_FRAMES	303
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:44:55	2502.10000300
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
177	1.76000	1145.697	327.020	434.446	886.714	519.631	603.999	846.666	576.565	288.232	903.581	485.329	32.314	877.133	190.276	602.204	856.751	106.568	296.154	909.166	203.794	51.800	336.829	547.231	491.009	-55.455	541.121	333.495	-503.924	539.232	185.361	-566.325	493.675	212.226	-489.715	543.131	62.722	-416.492	512.837	22.289	321.978	197.592	558.235	-42.146	187.908	322.228	-478.574	179.965	166.376	-544.976	224.127	185.489	-461.631	177.979	40.056	-392.388	229.127	23.376
178	1.77000	1145.476	327.076	435.124	886.219	519.873	604.235	846.518	575.929	288.338	903.576	485.164	32.295	876.604	190.637	602.295	856.737	106.750	296.278	909.419	203.784	51.849	336.286	547.814	491.518	-56.014	542.575	334.227	-504.998	540.885	188.057	-567.589	495.725	215.325	-491.308	545.150	65.272	-418.955	515.643	21.761	321.410	198.402	559.545	-42.309	187.809	322.647	-478.759	179.293	166.250	-545.029	223.454	185.446	-461.631	177.739	40.020	-392.383	229.151	23.420
179	1.78000	1145.117	327.214	435.833	885.574	520.487	604.285	846.199	575.590	288.347	903.760	485.059	32.189	876.044	190.973	602.444	856.943	107.093	296.410	909.526	203.881	52.007	335.561	548.596	492.374	-56.747	543.833	334.854	-506.199	542.846	190.336	-568.849	497.878	218.383	-493.553	546.704	68.476	-422.241	519.983	21.299	320.497	199.227	560.869	-42.714	187.654	323.151	-478.895	178.686	166.280	-545.221	222.972	185.220	-461.564	177.466	39.906	-392.521	229.104	23.487
180	1.79000	1144.828	327.511	436.879	885.006	521.088	604.232	845.707	575.219	288.179	903.571	484.915	32.143	875.432	191.526	602.528	856.889	107.434	296.506	909.619	203.953	52.041	334.980	549.400	493.130	-57.409	545.376	335.908	-507.613	544.933	193.469	-569.998	500.164	221.641	-495.630	548.226	70.768	-425.842	523.512	21.405	319.835	199.930	561.977	-43.217	187.698	323.642	-479.231	178.378	166.030	-545.391	222.543	184.843	-461.610	177.336	39.830	-392.481	229.032	23.431
181	1.80000	1144.514	327.965	437.898	884.529	521.495	604.328	845.363	574.846	287.942	903.622	484.854	32.150	874.640	192.066	602.730	856.995	107.782	296.724	909.677	204.063	52.075	334.525	550.135	493.866	-57.886	546.880	336.975	-508.632	547.271	196.050	-571.155	502.768	225.124	-497.944	549.592	73.106	-428.867	525.253	22.482	319.049	200.990	563.129	-43.775	187.755	324.205	-479.476	177.858	165.860	-545.994	221.962	184.637	-461.881	177.103	39.817	-392.643	229.013	23.456
182	1.81000	1144.159	328.323	438.981	883.970	521.898	604.555	845.354	574.656	287.956	903.754	484.771	32.052	873.751	192.654	602.565	856.956	108.272	296.814	909.808	204.139	52.128	333.842	551.091	494.534	-58.776	548.402	337.855	-509.852	549.564	198.560	-571.757	505.119	228.422	-500.891	550.987	75.309	-432.220	525.595	24.351	318.212	201.888	564.120	-44.494	188.166	324.880	-479.968	177.604	165.574	-546.408	221.640	184.323	-461.928	176.904	39.594	-392.763	228.990	23.388
183	1.82000	1143.559	328.993	439.698	883.321	522.424	604.556	845.511	574.425	287.984	903.692	484.736	32.057	873.068	193.039	602.830	857.054	108.692	296.930	909.926	204.370	52.238	333.247	551.912	494.951	-59.360	549.909	339.006	-511.057	552.211	200.856	-572.495	507.986	232.161	-504.179	552.421	77.294	-436.306	526.405	24.934	317.378	202.992	564.848	-45.218	188.750	325.322	-480.290	177.436	165.340	-546.771	221.233	183.896	-462.066	176.799	39.470	-392.763	228.942	23.371
184	1.83000	1143.178	329.692	441.021	882.843	523.042	604.892	845.873	574.309	288.271	903.585	484.771	32.057	872.280	193.420	602.911	857.101	109.181	297.119	910.025	204.440	52.327	332.206	552.978	495.920	-60.260	551.651	340.765	-512.090	554.595	203.054	-573.017	510.467	236.201	-508.095	553.583	79.261	-441.691	528.174	24.389	316.325	203.995	565.664	-45.832	189.359	325.696	-480.833	177.269	165.290	-547.350	221.088	183.516	-462.264	176.670	39.331	-392.994	228.928	23.473
185	1.84000	1142.454	330.520	442.046	882.344	523.639	605.374	846.168	573.937	288.506	903.683	484.676	32.188	871.471	194.027	603.077	857.350	109.592	297.336	910.158	204.622	52.403	331.445	553.865	496.558	-61.522	553.374	342.610	-513.229	557.091	205.538	-573.421	513.055	240.308	-513.025	555.236	81.021	-448.524	529.989	24.458	315.291	204.853	566.704	-46.318	189.952	325.996	-481.171	177.346	165.156	-547.862	221.046	183.289	-462.465	176.700	39.227	-393.045	228.878	23.431
186	1.85000	1141.658	331.427	443.023	881.932	523.987	605.916	846.695	573.625	288.697	903.829	484.678	32.087	870.763	194.530	603.600	857.811	110.108	297.718	910.311	204.754	52.629	330.549	555.055	497.434	-62.890	555.242	344.676	-514.538	560.189	208.350	-572.966	515.448	244.567	-518.815	556.496	83.063	-456.208	531.446	24.092	314.384	206.128	567.680	-46.954	190.578	326.305	-481.686	177.369	165.156	-548.260	221.137	182.975	-462.736	176.731	39.145	-393.194	228.941	23.460
