NO_OF_FRAMES	129
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:15:04	710.78465524
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
129	1.28000	341.693	299.189	1814.088	317.758	511.120	1488.642	301.069	562.640	1127.442	435.586	627.101	908.749	327.853	138.478	1489.935	289.630	65.394	1124.004	408.427	-3.315	905.857	331.246	493.007	932.171	315.389	470.036	512.628	281.413	439.492	64.473	223.165	404.138	22.704	396.794	455.611	26.799	492.177	415.293	19.211	322.522	142.301	933.768	326.109	174.282	513.020	286.359	201.904	67.792	235.958	251.125	22.674	399.845	167.447	23.227	499.256	204.657	19.938
130	1.29000	342.079	299.181	1814.045	317.917	511.287	1488.650	300.954	562.749	1127.496	435.514	627.187	908.778	327.949	138.588	1489.916	289.577	65.452	1124.076	408.301	-3.315	905.853	331.218	492.941	932.063	315.396	470.116	512.511	281.393	439.536	64.484	223.098	404.262	22.695	396.784	455.720	26.797	492.202	415.291	19.088	322.396	142.312	933.907	325.971	174.283	512.996	286.615	201.596	67.631	236.028	251.111	22.723	399.853	167.534	23.305	499.218	204.726	19.994
131	1.30000	341.943	299.193	1814.056	317.775	511.199	1488.697	301.062	562.633	1127.480	435.398	627.198	908.773	327.861	138.511	1489.984	289.560	65.461	1124.007	408.247	-3.278	905.816	331.209	492.945	932.093	315.530	470.196	512.682	281.361	439.523	64.472	223.138	404.226	22.675	396.661	455.665	26.866	492.386	415.091	19.157	322.366	142.357	933.850	326.091	174.337	512.942	286.665	201.615	67.734	235.958	251.148	22.658	399.817	167.495	23.228	499.244	204.651	20.012
132	1.31000	342.074	299.228	1814.135	317.780	511.167	1488.681	301.019	562.669	1127.389	435.249	627.192	908.626	327.842	138.590	1490.020	289.510	65.530	1124.072	408.089	-3.236	905.820	331.230	493.025	932.209	315.496	470.082	512.538	281.390	439.526	64.522	223.101	404.124	22.743	396.608	455.464	26.672	492.218	415.227	19.077	322.447	142.227	933.909	326.132	174.324	513.023	286.357	201.786	67.795	235.976	251.090	22.712	399.798	167.495	23.287	499.218	204.606	20.048
133	1.32000	342.137	299.273	1814.101	317.819	511.219	1488.614	301.017	562.655	1127.377	435.180	627.148	908.638	327.835	138.588	1489.989	289.500	65.591	1124.061	407.945	-3.203	905.814	331.100	493.097	932.201	315.509	470.135	512.503	281.425	439.516	64.379	223.045	404.220	22.766	396.759	455.520	26.854	492.269	415.278	19.078	322.418	142.410	933.825	326.174	174.384	512.919	286.312	201.770	67.670	236.002	251.098	22.732	399.754	167.483	23.320	499.257	204.649	20.007
134	1.33000	341.972	299.157	1814.132	317.774	511.231	1488.621	300.863	562.787	1127.448	435.162	627.180	908.636	327.846	138.649	1489.980	289.312	65.679	1124.181	407.832	-3.163	905.829	331.065	493.044	932.117	315.422	470.081	512.561	281.407	439.559	64.493	223.081	404.185	22.716	396.685	455.562	26.714	492.220	415.326	19.203	322.377	142.508	933.803	325.986	174.313	513.086	286.673	201.499	67.660	236.020	251.138	22.758	399.834	167.496	23.219	499.241	204.628	19.951
135	1.34000	342.086	299.298	1814.095	317.809	511.295	1488.681	300.823	562.750	1127.479	435.090	627.233	908.605	327.772	138.594	1490.045	289.220	65.624	1124.139	407.714	-3.161	905.837	331.043	493.166	932.187	315.611	470.219	512.672	281.329	439.551	64.501	223.109	404.167	22.745	396.715	455.598	26.852	492.165	415.276	19.145	322.380	142.356	933.828	326.043	174.316	513.043	286.489	201.695	67.670	235.942	251.082	22.834	399.798	167.541	23.249	499.206	204.663	19.970
136	1.35000	342.214	299.394	1814.069	317.746	511.281	1488.641	300.898	562.749	1127.468	435.055	627.230	908.558	327.763	138.605	1490.030	289.124	65.655	1124.184	407.666	-3.145	905.802	331.079	493.108	932.144	315.558	470.181	512.618	281.393	439.558	64.498	223.150	404.069	22.710	396.817	455.768	26.868	492.113	415.291	19.151	322.246	142.478	933.831	325.928	174.341	513.080	286.654	201.610	67.725	235.933	251.142	22.782	399.846	167.508	23.205	499.281	204.663	20.018
137	1.36000	342.279	299.417	1814.053	317.905	511.420	1488.611	300.872	562.686	1127.413	435.001	627.244	908.598	327.759	138.646	1489.983	289.012	65.654	1124.225	407.574	-3.087	905.828	331.137	493.134	932.157	315.747	470.324	512.661	281.323	439.575	64.486	223.142	404.238	22.710	396.574	455.449	26.672	492.287	415.165	19.095	322.299	142.420	933.826	326.006	174.323	513.009	286.644	201.594	67.681	235.975	251.124	22.733	399.785	167.503	23.311	499.225	204.669	20.047
138	1.37000	342.224	299.484	1814.139	317.725	511.349	1488.613	300.837	562.726	1127.408	434.992	627.296	908.501	327.724	138.661	1490.039	288.958	65.675	1124.220	407.513	-3.082	905.793	331.156	493.132	932.180	315.711	470.297	512.586	281.446	439.517	64.481	223.122	404.201	22.727	396.663	455.518	26.798	492.178	415.276	19.120	322.133	142.475	933.877	326.057	174.375	512.909	286.413	201.727	67.744	236.011	251.065	22.738	399.673	167.589	23.201	499.243	204.684	20.012
139	1.38000	342.358	299.604	1814.085	317.836	511.400	1488.596	300.852	562.741	1127.360	434.971	627.268	908.460	327.721	138.733	1490.006	288.962	65.621	1124.204	407.456	-3.070	905.820	331.091	493.146	932.176	315.632	470.159	512.549	281.424	439.524	64.438	223.010	404.194	22.765	396.672	455.558	26.823	492.245	415.172	19.136	322.211	142.579	933.771	326.053	174.408	512.924	286.619	201.604	67.618	235.968	251.174	22.766	399.880	167.453	23.284	499.217	204.681	19.953
140	1.39000	342.350	299.664	1814.147	317.765	511.376	1488.596	300.750	562.887	1127.373	434.925	627.278	908.452	327.677	138.843	1489.990	288.841	65.754	1124.248	407.316	-3.079	905.825	331.165	493.177	932.176	315.621	470.246	512.583	281.419	439.546	64.396	223.097	404.200	22.676	396.657	455.494	26.693	492.215	415.096	19.096	322.172	142.587	933.836	325.956	174.331	513.068	286.680	201.642	67.775	235.962	251.147	22.761	399.711	167.590	23.254	499.277	204.718	19.985
141	1.40000	342.296	299.807	1814.180	317.761	511.411	1488.557	300.673	562.879	1127.376	434.913	627.282	908.461	327.607	138.739	1490.011	288.791	65.650	1124.240	407.223	-3.056	905.836	331.141	493.189	932.219	315.608	470.249	512.577	281.354	439.541	64.499	223.146	404.202	22.731	396.818	455.509	26.781	492.130	415.258	19.186	322.063	142.578	933.825	326.020	174.427	512.947	286.399	201.866	67.835	235.989	251.076	22.629	399.817	167.534	23.203	499.280	204.661	19.942
142	1.41000	342.291	299.861	1814.066	317.734	511.426	1488.495	300.816	562.819	1127.317	434.923	627.327	908.469	327.540	138.824	1490.014	288.639	65.778	1124.283	407.146	-3.019	905.859	331.213	493.227	932.219	315.689	470.156	512.548	281.409	439.571	64.473	223.109	404.147	22.670	396.622	455.623	26.773	492.180	415.241	19.141	322.094	142.642	933.781	325.954	174.398	512.959	286.475	201.694	67.708	236.033	251.107	22.683	399.821	167.586	23.252	499.209	204.665	20.052
143	1.42000	342.421	299.859	1814.096	317.768	511.479	1488.543	300.755	562.932	1127.259	434.997	627.352	908.390	327.501	138.887	1489.962	288.581	65.764	1124.330	407.041	-3.051	905.837	331.222	493.318	932.162	315.767	470.281	512.616	281.372	439.651	64.514	223.051	404.187	22.788	396.558	455.626	26.679	492.176	415.299	19.242	322.048	142.640	933.821	325.949	174.414	512.938	286.613	201.680	67.785	235.971	251.140	22.774	399.773	167.596	23.243	499.184	204.625	20.024
144	1.43000	342.392	299.969	1814.096	317.727	511.509	1488.485	300.744	562.939	1127.293	434.999	627.273	908.409	327.501	138.922	1490.036	288.514	65.749	1124.338	406.958	-3.046	905.863	331.106	493.379	932.152	315.648	470.251	512.677	281.320	439.505	64.485	223.130	404.240	22.758	396.634	455.578	26.782	492.203	415.312	19.184	322.000	142.691	933.891	325.973	174.405	513.050	286.556	201.754	67.720	236.053	251.131	22.651	399.807	167.518	23.279	499.168	204.629	20.009
