Neck	1	2	-0.27816164663441356	0.0	-0.1625557397131338	0.0
Left Shoulder	1	3	-0.27816164663441356	0.0	-0.1581563337625307	0.0
Left Elbow	3	4	0.20458755101391585	0.0	-0.11044388648014904	0.0
Right Shoulder	1	5	-0.27816164663441356	0.0	-0.15980924579638675	0.0
Right Elbow	5	6	0.20672572162651862	0.0	-0.10680004532972273	0.0
Right Hip	1	7	0.27816164663441356	0.0	-0.18183009733571806	0.0
Right Knee	7	8	0.23810084339342294	0.0	-0.19358125011263935	0.0
Right Ankle	8	9	0.2534886115793684	0.0	-0.06084953728724338	0.0
Right Toe Joint	9	10	0.06084953728724338	0.0	-0.0497358841624903	0.0
Left Hip	1	11	0.27816164663441356	0.0	-0.18213119432653643	0.0
Left Knee	11	12	0.23849512051534913	0.0	-0.19457862467146736	0.0
Left Ankle	12	13	0.2547946424681801	0.0	-0.06066311099943891	0.0
Left Toe Joint	13	14	0.06066311099943891	0.0	-0.04792245297004612	0.0
